USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2022-10-11,270.035845634,0.2489406575,127.356699126,397.641485417
2022-10-12,271.417391811,0.2488919192,133.964093965,405.630377695
2022-10-13,266.058119473,0.2506072925,142.47693622,408.785662985
2022-10-14,266.858317611,0.254012181,143.834139589,410.946469381
2022-10-15,259.404770975,0.2657640466,149.328953577,408.999488598
2022-10-16,259.258712453,0.2745333787,150.718035832,410.251281663
2022-10-17,254.710393838,0.3429849329,160.822901797,415.876280569
2022-10-18,249.104664936,0.3533608273,164.021138448,413.479164211
2022-10-19,247.760496498,0.2729261078,156.880908177,404.914330783
2022-10-20,247.660781835,0.2799382832,147.553334266,395.494054385
2022-10-21,248.888232937,0.2837084974,143.180135237,392.352076671
2022-10-22,247.170329738,0.2819962428,136.522619796,383.974945777
2022-10-23,248.105159635,0.2825652796,134.621278905,383.009003819
2022-10-24,253.120469018,0.2913599133,123.331357158,376.74318609
2022-10-25,250.878648792,0.2995945442,119.203096799,370.381340135
2022-10-26,251.343081841,0.3029648499,118.934008363,370.580055054
2022-10-27,253.324984111,0.3129152137,119.820590941,373.458490265
2022-10-28,251.417931651,0.3145313468,122.358365823,374.090828821
2022-10-29,249.562030362,0.3142845872,122.008093384,371.884408333
2022-10-30,250.797949682,0.3105006552,121.629885492,372.73833583
2022-10-31,256.550225658,0.3085219975,121.659270868,378.518018523
2022-11-01,254.340891848,0.3303577358,122.665413547,377.336663131
2022-11-02,251.061123743,0.3379906087,124.852620607,376.251734958
2022-11-03,251.368452393,0.3423514013,124.566809261,376.277613056
2022-11-04,251.950237165,0.4346899169,122.910888739,375.295815821
2022-11-05,251.665084417,0.4986127115,123.265435423,375.429132551
2022-11-06,251.761449935,0.4945542055,125.138125994,377.394130135
2022-11-07,257.204568633,0.43951602,125.593785922,383.237870575
2022-11-08,256.345648074,0.3639071593,125.150568102,381.860123335
2022-11-09,254.548375761,0.3770290773,125.09337996,380.018784798
2022-11-10,254.484019872,0.3922386299,126.115920016,380.992178518
2022-11-11,253.895371395,0.3987675284,126.675065376,380.9692043
2022-11-12,253.397975166,0.3958513768,126.578220345,380.372046888
2022-11-13,257.715579424,0.405255621,125.812280445,383.93311549
2022-11-14,268.779053668,0.4073971657,128.547911612,397.734362445
2022-11-15,265.669540255,0.4179891587,136.564008152,402.651537565
2022-11-16,258.343748454,0.4237349683,143.260810631,402.028294053
2022-11-17,257.888708422,0.4340752625,143.77687364,402.099657325
2022-11-18,258.919337708,0.4377144542,143.623726789,402.980778952
2022-11-19,256.97138439,0.4450401299,145.532910433,402.949334953
2022-11-20,258.423778606,0.4533653256,146.047877167,404.925021099
2022-11-21,264.629303283,0.4677673241,144.15012031,409.247190917
2022-11-22,263.07443166,0.4731542139,137.598364944,401.145950818
2022-11-23,262.11522547,0.5453138537,131.58743573,394.247975053
2022-11-24,261.955904822,0.6382484405,133.794833673,396.388986936
2022-11-25,265.722336959,0.6535738955,137.295879611,403.671790466
2022-11-26,263.991846353,0.5947886956,142.567596664,407.154231712
2022-11-27,263.605884293,0.4984931662,148.530387444,412.634764903
2022-11-28,271.195692475,0.5078478046,153.134662885,424.838203164
2022-11-29,269.040395356,0.5061456569,158.415419622,427.961960635
2022-11-30,267.989315217,0.5022790648,163.377628806,431.869223087
2022-12-01,266.973815288,0.5041134119,166.068616666,433.546545366
2022-12-02,268.65374755,0.5018753629,168.553194016,437.708816929
2022-12-03,265.308685901,0.5021517998,169.344747015,435.155584716
2022-12-04,266.377765736,0.506857257,168.654560377,435.539183371
2022-12-05,270.937667126,0.5037486369,168.613102887,440.054518649
2022-12-06,266.846914465,0.5382337166,167.135347699,434.520495881
2022-12-07,264.924367816,0.5437409836,164.093458801,429.5615676
